id,redemption_status
3,1
4,0
5,1
8,0
10,0
12,0
13,0
16,1
18,0
31,0
36,1
37,0
38,1
40,0
41,0
44,1
47,1
49,0
50,0
53,1
57,0
59,0
60,0
64,0
67,0
68,0
70,1
73,0
76,0
78,0
81,1
87,0
89,0
94,0
96,0
98,1
100,1
105,0
108,0
109,0
111,0
112,0
114,0
116,0
119,1
120,0
126,0
127,0
128,0
132,1
133,0
138,0
140,0
143,1
145,0
147,0
148,0
149,1
150,0
153,1
157,0
162,1
163,0
166,0
168,0
173,0
174,0
175,1
177,0
178,1
185,1
189,1
190,0
191,0
199,1
201,0
203,0
204,1
210,0
211,0
212,0
216,1
223,1
226,1
227,1
229,1
232,0
234,0
235,0
236,0
237,0
244,0
245,0
246,0
248,0
249,1
251,0
252,0
253,1
256,0
257,0
258,0
263,0
268,0
271,0
272,1
274,0
276,0
278,0
280,0
281,1
285,0
288,0
289,0
294,0
296,1
297,0
300,0
302,1
303,0
310,0
311,1
312,0
314,0
315,0
319,0
323,0
324,1
327,1
333,1
334,0
338,0
339,0
340,0
341,0
344,1
348,0
349,1
350,0
354,0
358,1
364,0
373,0
375,1
376,1
377,1
379,0
381,1
382,1
388,0
390,1
394,0
396,1
399,1
402,0
405,0
408,0
409,1
414,0
415,0
416,0
422,0
426,0
427,0
429,0
431,0
432,1
433,1
434,1
436,1
437,1
439,0
442,0
443,0
444,1
448,0
451,0
453,0
458,0
459,1
460,0
462,0
464,1
466,0
467,1
471,0
476,1
477,1
480,1
481,1
482,1
489,0
490,0
493,0
498,1
500,0
501,0
509,0
510,0
511,0
512,0
513,0
514,0
520,0
522,0
524,0
527,0
537,0
540,0
542,1
544,0
547,0
550,0
551,0
552,0
553,0
556,1
559,0
562,0
565,0
568,0
573,0
574,0
578,0
580,0
581,0
582,0
583,0
585,0
586,1
587,0
588,0
593,0
595,1
597,1
600,0
602,0
604,0
605,1
606,0
608,0
610,1
611,0
614,0
616,1
619,0
622,1
624,1
625,0
627,0
629,1
630,0
631,0
632,1
633,1
636,0
637,1
645,0
652,0
653,0
655,0
658,0
663,0
668,0
669,0
670,1
674,0
675,0
676,1
679,0
685,0
688,0
690,1
691,0
692,0
696,1
697,0
700,1
702,0
703,0
707,0
709,0
713,0
716,0
717,0
720,0
725,1
726,1
727,1
728,0
729,0
730,0
734,0
737,0
738,0
739,0
744,0
745,1
747,0
749,0
752,0
753,0
755,0
756,0
757,0
758,0
761,0
763,0
766,0
768,0
770,1
772,1
781,1
783,0
786,0
788,0
790,1
791,0
793,1
797,0
798,1
801,0
802,0
804,0
805,0
807,1
808,0
811,0
818,0
822,0
827,0
828,1
834,0
837,0
839,0
844,0
845,1
849,0
864,0
865,1
866,0
871,1
876,1
877,0
887,0
889,0
890,0
891,0
895,0
896,0
898,1
900,1
903,0
905,1
908,1
914,0
917,1
918,1
919,1
920,0
921,0
926,1
927,1
928,1
929,0
931,1
934,0
937,1
938,0
939,1
941,1
943,0
947,1
950,0
952,0
954,0
958,0
960,0
961,1
964,0
971,1
972,0
976,0
980,0
984,0
986,0
989,0
992,0
995,0
997,0
1000,0
1005,1
1006,1
1014,0
1015,1
1021,0
1022,1
1023,0
1025,1
1027,0
1028,1
1029,1
1033,0
1034,0
1037,0
1040,0
1044,1
1045,0
1049,1
1051,0
1053,0
1054,0
1055,1
1056,0
1057,0
1058,0
1060,1
1061,0
1067,1
1069,0
1073,1
1075,0
1080,1
1081,1
1087,0
1090,0
1092,0
1099,0
1101,0
1105,1
1107,1
1111,1
1113,0
1114,0
1117,0
1118,0
1120,1
1124,0
1125,1
1133,0
1137,0
1143,0
1146,1
1148,1
1149,0
1152,0
1153,1
1155,0
1157,0
1158,0
1161,0
1162,1
1166,0
1171,1
1175,0
1179,0
1182,0
1183,1
1184,0
1185,0
1186,1
1187,0
1192,1
1193,0
1194,0
1197,1
1198,0
1199,0
1204,0
1205,0
1208,1
1209,1
1210,0
1212,0
1215,0
1216,0
1217,0
1219,0
1223,0
1224,0
1226,0
1233,0
1234,0
1237,1
1239,1
1241,0
1246,0
1247,0
1248,0
1251,0
1261,1
1263,0
1264,0
1267,0
1268,1
1269,0
1270,1
1271,1
1273,1
1276,0
1277,0
1278,0
1280,0
1282,0
1283,0
1284,0
1285,0
1289,0
1295,1
1298,0
1300,1
1301,0
1306,0
1314,1
1315,1
1317,1
1318,0
1320,0
1321,0
1322,0
1323,1
1325,0
1326,0
1327,0
1328,1
1329,1
1332,0
1337,0
1338,0
1343,1
1344,1
1349,0
1350,1
1353,0
1354,1
1355,0
1359,0
1366,0
1367,0
1369,1
1373,1
1377,1
1378,0
1381,0
1382,0
1384,0
1385,1
1386,1
1387,0
1390,0
1392,0
1394,0
1400,0
1401,0
1410,0
1411,0
1413,1
1414,1
1417,1
1423,0
1427,1
1428,0
1430,0
1431,1
1432,0
1440,0
1441,1
1450,1
1454,0
1457,0
1458,0
1459,0
1460,0
1462,1
1468,0
1469,1
1470,0
1472,1
1475,1
1476,0
1482,1
1487,0
1489,0
1492,1
1494,0
1495,1
1496,1
1497,0
1499,0
1507,0
1511,1
1517,0
1518,0
1519,0
1520,0
1521,1
1523,1
1527,0
1528,1
1531,1
1534,0
1535,1
1536,0
1539,1
1540,0
1541,0
1543,0
1545,0
1546,0
1551,0
1552,0
1555,0
1556,0
1557,0
1560,0
1566,0
1572,0
1574,0
1575,0
1576,1
1577,0
1581,0
1586,1
1587,0
1589,1
