,Col1,0
0,RIGD58ZWD,1
1,RIH660YDS,0
2,RIH660Q96,0
3,RIYDO15W1,0
4,RIYBGC1ZD,0
5,RIYBQ5SWR,0
6,RIYBQ5SD5,0
7,TI5HU5XY,1
8,TIYHGOSE,0
9,T90K61QJ,1
10,T7VUCSYG,0
11,T10BV81R,0
12,T1EWVOZZ,0
13,TDYO6BYZ,0
14,TDY6VY5E,0
15,TYWOUOSR,1
16,TYGRLBSY,0
17,TYE6VOKZ,1
18,TSW65YKE,0
19,TS5HVY1Z,0
20,TSMKICK,0
21,T25ROOSG,0
22,99LRCY1W,0
23,99YKLSZ5,0
24,970WOYQY,0
25,97MKU1NG,0
26,9LWB6C1J,0
27,9L5BQC15,0
28,9DMD5CKW,0
29,9Y0IVBQZ,0
30,9YM6QCYG,0
31,9S5HOY59,0
32,9SH6IS1Z,0
33,9SYK65SD,1
34,92GB5SN5,0
35,92GR5O4E,1
36,92HHL54D,0
37,92YBQMNW,0
38,92EUCSSZ,0
39,9NLDCC4D,1
40,9N5ICBZ5,0
41,9NMWI049,0
42,9NHDCSYD,0
43,AILK58QW,0
44,AIWWOYXE,0
45,AIWRGO1Z,0
46,AIGBVONY,1
47,AI5R5BZY,0
48,AI5HQ04Y,0
49,AIMILB1J,1
50,AIHROO1E,1
51,AIEH5BN5,0
52,A9LI5OXD,0
53,A9WBQCND,0
54,A9GHC5KR,0
55,A9HRL8YG,0
56,A9HUC8NJ,1
57,A9YBV55Y,1
58,A7VRQCKE,0
59,A7LHQ8Y,1
60,A7WIIY4G,1
61,A70BC0QZ,0
62,A7MR5M4W,0
63,A7HRUYZ,1
64,A7YDO0KR,1
65,A7YRVOKZ,0
66,A1VBCYNW,0
67,A1WDLMKZ,1
68,A1WU6YKJ,0
69,A1HIG0Z5,1
70,A1HBV01E,1
71,A1EROC55,0
72,ALLWIO49,0
73,ALWKI0YG,1
74,ALMKCBXE,1
75,ADVDOOXY,1
76,ADVW5SNE,1
77,ADL6U5QW,0
78,AD5KGOYR,1
79,ADMI6SZ5,1
80,ADMU55YJ,1
81,ADM65Y4G,1
82,ADHWQBQZ,0
83,ADYW51QW,0
84,ADED60KR,0
85,AYWRQMY5,0
86,AYGIG85E,1
87,AYGBUCNE,0
88,AY5BGCKJ,0
89,ASVRGCN9,0
90,ASWBCCSJ,0
91,AS5OQYNJ,0
92,AS5HQCZY,0
93,ASHOV5XZ,1
94,ASHHO81Y,0
95,A2LKCOQ5,1
96,A20UI01E,0
97,A2MUGSXJ,0
98,A2EHL145,0
99,ANVKQ01J,0
100,ANLRGYZJ,0
101,ANL6V14,0
102,ANWOUS5Z,0
103,AN0OU15D,0
104,ANGKG8S5,0
105,YIVKQ8NG,0
106,YIVWGYZ9,0
107,YI0ICS4D,0
108,YIGR5B4R,1
109,YI5OUBXD,1
110,YIEBL1YE,0
111,Y906UOKY,0
112,Y9GUUS5G,0
113,Y9MHLB1E,0
114,Y70I5159,0
115,Y70BGB1J,1
116,Y7YR6B4G,0
117,Y1LWO5YZ,1
118,Y1LWIOY9,0
119,Y1LRI8Y5,0
120,Y1WW5O59,0
121,Y1GILSKE,0
122,Y156511Z,0
123,Y1YDCY5Y,0
124,Y1EWLBZG,1
125,YL0RCCQE,1
126,YLGB6OZZ,0
127,YLMOOOQZ,0
128,YLMR5MXE,1
129,YLEDV0S9,0
130,YDVUQS55,0
131,YD5BG0QR,0
132,YDYRV1YD,0
133,YDEK5CQZ,1
134,YYVOQ8K5,1
135,YYWIO81G,1
136,YYWWOSNZ,0
137,YY0KL8KR,0
138,YYG6LYND,0
139,YSLDOBXG,1
140,YS0IVMSR,0
141,YS06GY45,0
142,YS0HG8ZE,0
143,YSGIQBYG,0
144,YSGO55ZE,0
145,YSGUI84J,0
146,YS5ILBN,0
147,YSYKQY1D,0
148,YSED5SN5,0
149,YSEIG8NZ,1
150,Y2LKCM5Y,1
151,Y2LROBSR,0
152,Y20DUOZZ,1
153,Y25OV81E,0
154,Y2YI61N9,1
155,YNVUVOKW,0
156,YNWOL8ZG,0
157,YNGWI5NZ,0
158,YNMWQBQG,1
159,7ILICMNG,0
160,7I06GS5W,1
161,79LIIBYG,0
162,79LI58YY,0
163,77LBO0ZG,1
164,77LW6Y4G,0
165,77GOUSSJ,0
166,775IL5XD,1
167,77HDL5NZ,0
168,77YOG5YW,0
169,71VII0YG,0
170,71VBVB1R,0
171,71VUO0Y9,0
172,71VUO05W,0
173,71VUO14J,1
174,71VUO15R,0
175,71VUO15G,0
176,71VUCM4J,0
177,71VUCMZW,0
178,71VUCMYD,1
179,710O61X9,1
180,71GHL05J,0
181,71HKG5ZE,0
182,71YB55KE,0
183,7LLH5YQW,1
184,7L5BVBZR,1
185,7LMWVMNE,1
186,7LMR6559,0
187,7LMROCY5,0
188,7LE6Q0KG,0
189,7DVU68K,0
190,7DLIQ8SR,0
191,7DL6G0XY,1
192,7DWRL1ZR,1
193,7D5KOS4Z,0
194,7DMBUSSY,0
