Id,Response
1,3
3,7
4,7
9,7
12,8
13,8
21,6
28,8
30,5
36,8
38,8
43,6
45,4
48,8
50,6
51,8
54,6
55,8
59,8
62,5
63,8
66,8
69,8
82,8
83,7
84,7
86,8
89,8
90,4
92,7
98,6
100,2
105,6
115,8
119,2
124,3
127,8
133,7
140,6
141,8
143,3
151,5
154,8
157,8
163,5
166,2
168,8
170,5
173,8
180,7
182,8
184,5
185,8
195,7
196,6
197,6
212,6
213,8
219,8
225,4
227,5
232,5
239,6
247,6
251,5
254,6
261,6
264,6
267,8
272,7
275,8
277,5
283,7
284,2
287,7
291,8
293,6
294,4
305,7
307,5
309,8
311,5
322,3
323,4
326,6
330,2
335,8
337,8
338,5
341,1
346,6
348,6
352,4
356,8
358,3
366,6
369,5
373,6
375,4
381,6
384,8
386,6
396,7
397,2
399,8
405,8
412,8
417,4
421,5
425,8
427,8
430,4
432,6
433,8
436,8
438,7
441,8
442,6
444,6
446,8
448,8
450,6
454,8
465,8
470,6
472,4
475,8
484,8
495,7
497,8
498,8
501,5
502,7
505,8
515,5
516,6
527,8
529,4
531,8
533,6
537,2
541,8
546,8
548,6
549,8
550,7
553,8
559,8
561,4
564,2
574,6
578,7
579,6
580,8
582,5
584,8
588,6
596,5
602,4
603,4
613,7
614,2
619,8
620,7
624,5
625,7
628,6
630,6
635,7
636,4
637,8
641,8
644,8
648,8
654,8
658,6
664,8
666,7
667,8
670,8
672,6
674,8
676,7
684,8
685,5
693,3
694,7
700,3
702,7
703,6
705,6
711,8
718,3
722,8
726,5
727,4
732,8
735,8
740,4
748,7
750,7
751,8
756,8
762,7
766,8
770,7
771,4
779,7
782,5
784,8
793,6
798,6
800,6
801,8
805,7
807,5
813,8
819,8
820,7
822,8
823,8
833,8
834,5
842,4
845,7
856,6
860,6
864,4
869,8
872,7
877,5
878,7
893,7
894,8
896,6
899,6
900,7
911,1
914,7
917,1
919,7
923,3
925,6
926,3
934,6
938,7
940,6
955,6
956,6
971,7
973,8
978,8
979,8
981,8
988,7
990,8
992,5
996,8
997,5
999,5
1000,8
1006,7
1009,3
1018,6
1025,5
1038,8
1042,7
1045,6
1046,8
1047,6
1050,6
1052,7
1054,8
1057,7
1061,3
1069,5
1071,6
1073,6
1074,8
1075,6
1083,6
1084,3
1089,5
1099,6
1103,4
1110,8
1123,7
1130,7
1135,7
1137,8
1145,8
1147,4
1152,8
1153,2
1154,8
1158,8
1166,6
1170,8
1172,7
1178,5
1179,8
1181,3
1182,8
1183,8
1191,6
1192,2
1200,3
1205,7
1207,6
1208,3
1209,4
1217,4
1223,8
1225,8
1226,5
1228,4
1230,6
1232,8
1235,8
1237,6
1257,7
1266,2
1267,6
1274,8
1277,8
1278,6
1280,8
1282,8
1293,6
1294,3
1305,8
1306,7
1311,7
1318,6
1320,8
1323,8
1325,4
1328,6
1336,5
1340,8
1341,8
1344,7
1345,7
1348,3
1358,1
1361,8
1364,5
1373,8
1377,6
1378,7
1380,7
1382,7
1383,5
1386,8
1387,2
1390,4
1395,8
1398,7
1402,3
1403,8
1405,8
1407,7
1410,2
1412,3
1419,6
1426,7
1428,8
1436,7
1437,4
1438,5
1441,8
1444,4
1448,3
1454,6
1457,6
1459,8
1463,7
1467,3
1471,6
1475,6
1476,5
1480,8
1481,3
1482,5
1489,5
1491,7
1494,8
1496,8
1500,8
1501,8
1503,7
1504,5
1505,4
1515,5
1517,6
1520,5
1521,4
1523,8
1526,7
1529,6
1530,7
1543,6
1544,8
1547,6
1550,8
1552,6
1554,6
1563,7
1574,7
1575,7
1576,5
1579,5
1582,3
1584,8
1585,8
1589,6
1596,6
1598,3
1611,7
1613,5
1615,7
1618,5
1627,7
1630,3
1638,8
1639,7
1640,8
1642,7
1645,6
1648,7
1654,5
1661,7
1662,7
1663,8
1666,5
1668,2
1670,2
1672,8
1681,6
1682,7
1683,3
1687,8
1688,7
1693,7
1694,7
1700,8
1704,7
1712,8
1716,8
1717,7
1722,5
1724,5
1738,2
1739,1
1740,8
1761,8
1763,8
1765,7
1766,7
1767,8
1771,6
1772,7
1777,8
1784,5
1799,5
1806,7
1810,3
1812,5
1814,3
1818,7
1819,8
1822,5
1823,8
1824,2
1834,6
1835,7
1844,6
1848,7
1849,8
1850,6
1851,4
1856,4
1862,2
1863,6
1872,6
1874,5
1875,8
1877,8
1900,7
1902,6
1904,5
1905,4
1908,8
1914,8
1916,2
1922,4
1933,7
1934,6
1939,7
1942,5
1947,8
1957,8
1971,8
1973,3
1974,6
1977,7
1981,6
1985,8
1987,7
1989,8
2001,4
2002,3
2007,2
2008,8
2011,5
2021,7
2034,7
2040,8
2044,5
2045,8
2048,8
2051,8
2062,8
2066,1
2068,5
2069,3
2074,8
2075,7
2078,7
2079,1
2080,3
2081,5
2084,2
2085,8
2087,7
2096,6
2102,7
2103,6
2107,8
2117,6
2118,3
2120,6
2121,4
2122,4
2130,7
2136,3
2138,8
2140,8
2143,8
2144,5
2145,5
2147,7
2150,3
2154,8
2155,3
2166,5
2169,4
2173,6
2176,1
2178,7
2179,5
2180,8
2184,8
2185,8
2188,5
2190,7
2194,7
2195,8
2198,6
2205,8
2206,7
2207,3
2212,6
2213,6
2216,8
2218,3
2224,8
2225,7
2228,8
2236,5
2242,8
2246,5
2250,8
2255,6
2256,2
2267,6
2268,7
2269,6
2272,6
2275,2
2280,8
2282,8
2287,7
2289,8
2293,8
2296,7
2307,7
2309,8
2313,6
2325,6
2327,8
2336,5
2339,7
2342,8
2347,8
2350,5
2360,6
2364,8
2369,2
2379,4
2394,7
2395,5
2399,8
2402,8
2410,8
2416,8
2420,8
2427,6
2434,8
2435,8
2441,8
2447,6
2452,6
2463,7
2467,8
2468,8
2470,6
2476,7
2483,2
2487,5
2492,8
2502,8
2504,5
2510,8
2511,2
2512,8
2517,7
2520,8
2521,8
2523,7
2524,6
2525,7
2526,5
2528,8
2530,5
2532,4
2536,5
2540,6
2541,6
2543,6
2549,8
2550,1
2556,4
2557,7
2559,8
2565,8
2566,8
2567,1
2568,5
2570,8
2573,8
2577,6
2578,7
2583,4
2586,6
2587,5
2588,7
2591,8
2597,8
2606,7
2607,8
2608,7
2611,3
2612,8
2613,8
2616,8
2621,8
2622,7
2634,8
2639,8
2642,3
2644,6
2650,2
2655,8
2664,7
2667,7
2670,5
2679,3
2681,7
2683,8
2685,8
2687,8
2696,5
2699,8
2712,3
2716,8
2720,8
2725,7
2726,8
2731,6
2733,8
2740,8
2742,8
2748,5
2749,8
2763,8
2771,8
2772,6
2773,6
2783,8
2784,8
2789,2
2796,5
2798,6
2799,8
2800,6
2802,8
2805,6
2809,6
2816,7
2817,7
2821,8
2822,8
2829,7
2832,4
2842,5
2844,6
2846,6
2851,6
2852,5
2853,8
2856,7
2862,3
2866,6
2868,5
2886,8
2892,6
2893,5
2898,8
2917,4
2923,3
2927,6
2930,8
2931,2
2935,8
2936,5
2961,3
2964,8
2967,8
2968,8
2970,7
2977,5
2978,8
2979,8
2985,5
2986,2
2989,7
2997,5
2999,8
3004,7
3008,7
3010,5
3020,8
3022,8
3024,7
3027,8
3032,8
3033,8
3048,4
3053,7
3056,8
3070,8
3071,3
3073,8
3080,7
3098,8
3099,4
3109,7
3110,7
3115,2
3121,8
3128,7
3132,3
3133,3
3141,8
3144,6
3145,5
3154,7
3159,7
3164,4
3168,3
3172,3
3176,6
3186,8
3193,5
3196,8
3199,4
3200,7
3209,8
3210,8
3214,6
3229,6
3230,6
3233,8
3242,4
3244,5
3249,6
3251,3
3253,1
3264,6
3271,4
3272,8
3274,7
3276,3
3280,5
3282,6
3285,8
3297,6
3298,7
3307,6
3309,8
3310,8
3312,6
3314,8
3315,5
3316,7
3319,6
3322,8
3327,6
3332,6
3334,8
3336,1
3338,7
3340,6
3343,3
3352,8
3353,8
3356,8
3357,8
3360,6
3365,8
3366,8
3367,8
3369,8
3374,5
3376,6
3381,8
3385,6
3386,7
3397,7
3403,5
3409,4
3414,8
3415,8
3423,8
3427,7
3428,7
3439,5
3441,8
3442,4
3447,6
3453,7
3456,4
3458,5
3459,6
3462,6
3464,8
3477,8
3480,6
3483,8
3490,6
3497,8
3498,7
3500,6
3504,6
3509,2
3510,8
3511,8
3525,5
3528,7
3529,1
3531,5
3532,8
3536,7
3537,3
3538,6
3547,5
3557,6
3572,8
3573,7
3588,8
3590,7
3597,7
3601,6
3602,7
3608,8
3611,7
3616,6
3619,7
3623,6
3638,6
3641,6
3643,8
3647,4
3648,7
3662,5
3663,8
3665,6
3679,7
3683,6
3692,7
3700,8
3705,6
3706,8
3711,8
3712,5
3716,4
3725,5
3727,8
3739,7
3740,6
3743,5
3744,3
3750,8
3751,6
3752,2
3753,5
3754,3
3761,8
3762,7
3764,4
3773,8
3774,5
3775,8
3776,8
3785,6
3788,8
3791,6
3792,7
3794,4
3797,7
3798,8
3807,4
3808,8
3810,5
3813,8
3815,8
3818,6
3820,3
3824,8
3832,8
3836,8
3837,7
3849,8
3853,5
3861,4
3862,7
3863,5
3867,5
3868,8
3871,8
3873,6
3874,8
3879,7
3881,7
3883,8
3887,6
3888,5
3889,5
3898,3
3901,8
3904,4
3905,6
3907,6
3911,4
3915,8
3917,5
3923,7
3925,4
3931,7
3934,8
3943,7
3946,5
3947,5
3949,6
3958,4
3959,7
3960,5
3969,8
3971,8
3973,8
3976,8
3979,8
3982,8
3992,8
3993,6
3995,8
3997,5
4002,8
4003,8
4006,8
4010,8
4011,7
4012,8
4019,8
4020,2
4026,6
4030,3
4033,4
4034,8
4038,4
4045,7
4046,8
4047,1
4048,8
4055,8
4061,8
4063,3
4066,7
4069,8
4076,8
4081,7
4086,8
4087,8
4094,8
4096,3
4105,6
4107,6
4110,5
4115,8
4128,3
4131,8
4136,2
4140,6
4141,5
4142,8
4146,7
4156,6
4159,8
4171,6
4174,1
4175,5
4180,8
4187,8
4191,3
4193,7
4197,8
4201,6
4203,5
4205,6
4206,4
4209,8
4213,8
4215,6
4220,8
4223,8
4225,7
4234,1
4241,6
4244,7
4247,6
4254,6
4255,3
4262,4
4263,8
4266,2
4269,8
4270,4
4271,5
4274,7
4279,7
4286,2
4287,6
4288,8
4290,1
4294,8
4296,7
4299,6
4302,8
4316,8
4320,5
4321,3
4324,5
4325,3
4326,8
4332,8
4334,8
4343,8
4348,7
4350,7
4353,7
4356,8
4361,8
4367,5
4369,7
4371,7
4373,6
4374,1
4376,8
4393,3
4394,6
4397,2
4398,8
4404,8
4410,6
4411,3
4412,8
4414,6
4415,8
4418,5
4420,7
4426,6
4427,8
4430,3
4431,5
4435,8
4437,5
4438,8
4458,5
4461,6
4462,5
4464,5
4482,8
4484,7
4489,4
4494,7
4496,8
4503,6
4508,4
4515,5
4516,8
4517,8
4518,7
4524,5
4525,2
4527,8
4529,8
4535,6
4538,1
4544,6
4545,4
4550,5
4551,7
4554,7
4563,8
4565,7
4573,6
4576,8
4578,7
4587,8
4590,5
4597,4
4600,8
4608,8
4612,5
4615,8
4616,8
4618,7
4620,5
4622,5
4624,7
4628,6
4631,8
4633,8
4646,5
4648,1
4655,8
4669,8
4673,6
4677,7
4680,8
4683,5
4691,2
4694,8
4697,8
4698,3
4704,6
4711,6
4713,6
4716,5
4724,6
4727,8
4730,6
4731,7
4732,6
4741,3
4742,8
4743,8
4753,8
4758,8
4762,2
4765,4
4782,2
4787,8
4788,8
4789,1
4790,8
4792,8
4797,6
4805,5
4806,8
4809,7
4814,8
4823,8
4825,3
4830,6
4832,6
4833,3
4840,5
4841,7
4844,8
4845,8
4849,6
4858,8
4870,7
4875,8
4877,7
4882,6
4891,7
4900,6
4905,8
4907,6
4908,8
4923,7
4924,8
4925,8
4927,6
4933,7
4935,8
4941,3
4944,8
4946,5
4953,7
4956,3
4968,3
4985,1
4989,8
4995,1
5005,6
5010,3
5016,8
5018,8
5029,4
5031,5
5037,5
5039,7
5041,6
5043,7
5052,7
5055,6
5059,6
5063,8
5067,8
5070,7
5072,6
5073,6
5079,8
5086,6
5093,6
5094,1
5098,8
5101,8
5108,3
5112,8
5113,8
5119,8
5120,6
5121,7
5126,8
5127,7
5128,8
5131,5
5137,3
5146,8
5148,6
5150,6
5159,8
5160,8
5163,5
5170,7
5177,6
5179,8
5185,7
5188,8
5190,7
5191,5
5192,6
5195,4
5198,7
5208,5
5214,7
5215,7
5219,3
5220,8
5223,3
5224,3
5225,8
5227,3
5229,8
5231,3
5236,6
5237,6
5238,6
5240,5
5248,8
5252,8
5256,6
5269,8
5270,3
5272,8
5275,8
5276,6
5279,8
5280,6
5281,8
5291,6
5292,8
5294,3
5296,8
5302,7
5307,8
5312,8
5313,6
5314,8
5315,6
5316,6
5317,7
5318,6
5321,6
5322,8
5323,6
5324,8
5334,7
5343,2
5344,2
5345,7
5355,1
5364,7
5369,8
5371,8
5380,8
5385,1
5392,6
5395,7
5396,8
5398,8
5400,8
5402,8
5411,8
5412,3
5414,8
5417,6
5424,8
5427,8
5428,5
5430,6
5432,6
5438,3
5448,7
5459,2
5460,7
5461,6
5463,3
5477,4
5479,6
5481,8
5482,7
5491,5
5493,7
5506,7
5507,1
5517,7
5532,7
5533,6
5534,8
5541,8
5542,3
5548,1
5551,2
5553,5
5554,8
5565,7
5574,7
5575,8
5576,3
5583,6
5584,3
5586,3
5587,4
5588,8
5596,7
5597,8
5601,8
5603,7
5613,6
5614,8
5618,7
5619,7
5621,8
5622,8
5627,8
5628,5
5630,8
5633,3
5639,5
5643,7
5649,6
5653,8
5655,6
5664,1
5667,4
5670,8
5674,3
5678,7
5680,5
5687,4
5692,7
5694,7
5697,8
5701,3
5704,8
5710,6
5711,5
5716,3
5724,8
5725,3
5726,5
5727,7
5731,7
5749,4
5751,8
5755,6
5756,8
5761,8
5767,4
5768,5
5770,6
5772,4
5773,6
5775,8
5776,8
5784,1
5792,1
5793,6
5794,8
5797,8
5799,7
5800,8
5805,6
5809,8
5813,2
5817,8
5824,6
5829,5
5832,2
5835,4
5837,3
5847,7
5854,6
5857,5
5860,8
5872,5
5874,8
5876,5
5880,8
5882,6
5891,6
5892,2
5906,8
5922,8
5923,6
5927,6
5929,5
5941,4
5942,4
5945,8
5947,7
5950,8
5951,8
5952,6
5960,8
5965,6
5967,8
5974,8
5977,1
5984,3
5987,8
5991,6
5996,3
5997,8
6002,2
6005,5
6008,8
6009,4
6014,7
6027,7
6030,4
6033,8
6034,3
6035,8
6043,8
6046,5
6047,6
6048,7
6070,6
6071,5
6085,1
6090,6
6091,7
6092,6
6098,8
6106,8
6108,8
6111,2
6115,8
6117,4
6121,5
6124,7
6126,7
6129,8
6131,8
6141,7
6142,2
6143,4
6144,5
6147,6
6148,4
6155,6
6158,3
6159,7
6162,4
6166,8
6172,4
6177,3
6178,8
6181,6
6182,8
6185,6
6191,8
6195,8
6204,6
6205,7
6211,7
6212,8
6219,8
6220,8
6223,3
6226,8
6239,7
6243,8
6249,1
6252,8
6255,5
6260,5
6261,7
6263,4
6264,4
6270,1
6271,8
6272,7
6274,7
6277,2
6280,7
6284,6
6286,4
6288,5
6290,8
6293,6
6299,6
6301,8
6304,3
6306,6
6308,8
6309,5
6312,8
6321,6
6322,5
6331,4
6335,8
6340,8
6343,8
6344,3
6347,5
6348,5
6349,8
6350,7
6354,8
6355,5
6362,5
6367,7
6372,8
6375,8
6379,2
6384,3
6386,8
6390,6
6396,5
6401,5
6403,6
6408,5
6410,6
6420,8
6430,8
6436,8
6440,8
6442,8
6443,8
6444,5
6459,8
6466,7
6469,6
6474,8
6475,4
6476,3
6490,3
6491,4
6496,2
6497,7
6498,6
6499,7
6501,6
6514,1
6515,6
6524,8
6526,3
6532,7
6537,6
6538,7
6541,5
6546,6
6551,1
6554,6
6557,5
6560,5
6565,7
6566,6
6578,5
6582,8
6587,7
6593,7
6596,6
6611,8
6615,7
6620,8
6626,6
6627,6
6628,6
6635,6
6639,6
6641,5
6645,5
6660,8
6663,7
6669,7
6674,5
6682,7
6685,4
6687,8
6692,6
6695,7
6696,4
6699,6
6700,7
6701,7
6705,3
6707,6
6709,8
6711,8
6714,5
6722,6
6723,8
6724,8
6726,4
6733,8
6734,8
6735,8
6736,6
6738,6
6741,8
6746,8
6754,8
6758,2
6763,3
6764,4
6768,8
6778,2
6784,8
6785,6
6787,7
6806,5
6825,5
6830,1
6831,7
6832,6
6833,4
6835,3
6842,7
6843,4
6853,6
6859,7
6860,4
6862,7
6867,3
6868,8
6885,7
6888,3
6889,7
6897,2
6898,1
6900,7
6902,5
6903,5
6907,2
6909,1
6911,3
6925,8
6930,6
6931,4
6933,4
6937,6
6941,3
6948,7
6950,8
6956,8
6957,8
6960,8
6962,5
6969,4
6971,4
6973,3
6980,6
6983,4
6985,6
6999,8
7005,8
7006,8
7007,6
7012,4
7013,7
7016,5
7017,8
7020,6
7024,7
7026,2
7027,1
7029,6
7032,4
7034,8
7044,8
7054,3
7057,8
7058,5
7060,7
7065,6
7069,6
7071,8
7076,3
7077,5
7081,4
7082,5
7093,8
7095,4
7098,5
7099,1
7105,3
7106,6
7122,6
7129,8
7130,7
7135,6
7136,3
7137,6
7138,8
7141,6
7143,7
7159,8
7162,8
7165,5
7169,4
7171,4
7172,7
7175,7
7178,6
7182,6
7190,8
7194,5
7196,7
7205,8
7207,7
7210,8
7211,6
7216,8
7219,5
7222,6
7224,8
7234,6
7237,7
7242,5
7246,7
7247,1
7251,7
7252,5
7257,4
7276,6
7281,6
7286,8
7287,8
7295,6
7297,7
7300,8
7307,8
7308,1
7310,4
7315,1
7317,7
7318,7
7322,6
7325,7
7326,8
7332,7
7342,8
7345,8
7347,7
7349,7
7352,6
7353,1
7354,8
7370,8
7392,8
7394,8
7396,7
7397,6
7400,7
7402,3
7406,7
7409,8
7410,8
7412,7
7414,3
7419,8
7420,6
7421,7
7424,6
7428,6
7431,8
7435,8
7437,8
7445,5
7449,6
7456,7
7458,8
7459,5
7463,2
7464,7
7465,8
7467,8
7471,3
7472,5
7485,5
7494,1
7505,8
7511,8
7512,7
7513,3
7514,1
7515,6
7523,2
7530,7
7531,8
7536,8
7538,8
7542,4
7543,7
7549,5
7557,7
7559,7
7560,8
7563,6
7564,8
7567,8
7572,7
7575,2
7588,5
7595,5
7596,6
7602,6
7609,6
7612,7
7613,5
7621,6
7622,7
7624,8
7625,7
7629,8
7632,7
7634,7
7636,8
7637,2
7638,4
7640,4
7643,8
7648,7
7653,4
7654,8
7662,6
7671,8
7674,7
7682,5
7683,8
7686,7
7690,4
7692,8
7694,4
7695,5
7700,6
7714,3
7715,7
7721,8
7728,8
7737,6
7739,5
7745,3
7747,6
7761,8
7762,8
7763,7
7770,4
7771,6
7774,8
7776,3
7779,6
7793,7
7795,8
7796,8
7800,8
7803,8
7808,8
7811,6
7812,6
7813,5
7814,6
7818,2
7826,6
7827,8
7831,8
7834,8
7837,6
7841,8
7842,8
7843,4
7844,8
7851,8
7854,8
7856,8
7859,8
7866,6
7869,8
7870,7
7872,2
7886,6
7892,7
7893,6
